,recp_name,ligand_name,CACTVS,OpenEye OEToolkits
17,PUR2,KEU,N[C@@H]1N[C@H](N)[C@H](CCC[C@H](c2ccc(cc2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)(O)C(F)(F)F)C(=O)N1,c1cc(ccc1[C@@H](CCCC2C(NC(NC2=O)N)N)C(C(F)(F)F)(O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O
18,FKB1A,SUB,CCOC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]2CSCCN2[S](=O)(=O)c3ccc(C)cc3,CCOC(=O)C(Cc1ccccc1)NC(=O)[C@@H]2CSCC[N@]2S(=O)(=O)c3ccc(cc3)C
19,THRB,UIP,CC[C@@H]1[C@H]2[C@@H]3CCCN3[C@H]([C@H]2C(=O)N1Cc4ccc5OCOc5c4)c6ccc(cc6)C(N)=N,CC[C@@H]1[C@H]2[C@@H]3CCC[N@@]3[C@H]([C@H]2C(=O)N1Cc4ccc5c(c4)OCO5)c6ccc(cc6)C(=N)N
20,PLK1,626,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3n[nH]c4cn(cc34)C(=O)Cc5sccc5,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4cn(cc4[nH]n3)C(=O)Cc5cccs5
21,MAPK2,L8I,CN1CC2(CNC(=O)c3c4CCc5cnc(cc5c4[nH]c23)c6ccccc6F)C1,CN1CC2(C1)CNC(=O)c3c2[nH]c-4c3CCc5c4cc(nc5)c6ccccc6F
22,AA2AR,ZMA,Nc1nc(NCCc2ccc(O)cc2)nc3nc(nn13)c4occc4,c1cc(oc1)c2nc3nc(nc(n3n2)N)NCCc4ccc(cc4)O
23,ACES,HUX,CCC1=C[C@H]2C[C@@H](C1)c3c(N)c4ccc(Cl)cc4nc3C2,CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)N)[C@@H](C2)C1
24,FABP4,T4B,CCc1n(nc(c2ccccc2)c1c3ccccc3)c4ccccc4c5cccc(OCC(O)=O)c5,CCc1c(c(nn1c2ccccc2c3cccc(c3)OCC(=O)O)c4ccccc4)c5ccccc5
25,FA10,443,O[C@H](C[S](=O)(=O)c1ccc2cc(Cl)ccc2c1)C(=O)N3CC[C@@H](CC3)N4CCCNC4=O,c1cc(cc2c1cc(cc2)Cl)S(=O)(=O)C[C@H](C(=O)N3CCC(CC3)N4CCCNC4=O)O
26,ABL1,JIN,CN1C(=O)C(=Cc2cnc(Nc3ccc(F)c(C)c3)nc12)c4c(Cl)cccc4Cl,Cc1cc(ccc1F)Nc2ncc3c(n2)N(C(=O)C(=C3)c4c(cccc4Cl)Cl)C
27,HDAC8,AGE,Cn1cc(cc1\C=C\C(=O)NO)C(=O)Cc2ccccc2,Cn1cc(cc1\C=C\C(=O)NO)C(=O)Cc2ccccc2
28,AMPC,STC,OC(=O)c1sccc1[S](=O)(=O)Nc2ccc(Cl)cc2,c1cc(ccc1NS(=O)(=O)c2ccsc2C(=O)O)Cl
29,EGFR,HYZ,Nc1ncnc(Nc2ccc3n(Cc4cccc(F)c4)ncc3c2)c1CNN5CCCCC5,c1cc(cc(c1)F)Cn2c3ccc(cc3cn2)Nc4c(c(ncn4)N)CNN5CCCCC5
30,NRAM,RA2,CCC(CC)Nc1cc(ccc1N2C(=O)CCC2(CO)CO)C(O)=O,CCC(CC)Nc1cc(ccc1N2C(=O)CCC2(CO)CO)C(=O)O
31,FA7,413,COc1cc(ccc1OCc2ccccc2)[C@@H](Nc3ccc(cc3)C(N)=N)C(=O)N[C@H](C(O)=O)c4ccccc4,COc1cc(ccc1OCc2ccccc2)[C@H](C(=O)N[C@@H](c3ccccc3)C(=O)O)Nc4ccc(cc4)C(=N)N
32,HIVPR,189,CC(C)CN(C[C@H]1CNC[C@@H]1CN(Cc2ccccc2)C(=O)COc3c(C)cccc3C)[S](=O)(=O)c4ccccc4,Cc1cccc(c1OCC(=O)N(Cc2ccccc2)C[C@H]3CNC[C@@H]3C[N@@](CC(C)C)S(=O)(=O)c4ccccc4)C
33,GLCM,BTB,OCCN(CCO)C(CO)(CO)CO,C(CO)N(CCO)C(CO)(CO)CO
34,SRC,PD5,CC(C)n1nc(c2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)c4c(N)ncnc14,CC(C)n1c2c(c(n1)c3ccc(cc3)NC(=O)Nc4cccc(c4)C(F)(F)F)c(ncn2)N
35,KIT,B49,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C/2C(=O)Nc3ccc(F)cc/23)c1C,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C
36,KITH,THM,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
37,PPARA,735,Cc1nc(sc1C(=O)NCc2ccc(OC(C)(C)C(O)=O)cc2)c3ccc(cc3)C(F)(F)F,Cc1c(sc(n1)c2ccc(cc2)C(F)(F)F)C(=O)NCc3ccc(cc3)OC(C)(C)C(=O)O
38,FGFR1,C4F,COc1cccc(Cc2c[nH]c3ncccc23)c1,COc1cccc(c1)Cc2c[nH]c3c2cccn3
39,ADA,FR6,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n3cnc(c3)C(N)=O,C[C@@H]([C@@H](CCc1cccc2c1cccc2)n3cc(nc3)C(=O)N)O
40,MK01,19A,CN(C)C(=O)c1[nH]cc(c1)c2n[nH]cc2c3ccccc3,CN(C)C(=O)c1cc(c[nH]1)c2c(c[nH]n2)c3ccccc3
